"2048","18","indirect commission L6","approved","2","in","Imowo","2022-04-01 10:45:55","2022-04-01 10:45:55",NULL,"0"
"2055","18","indirect commission L5","approved","2","in","Amazing","2022-04-01 10:51:33","2022-04-01 10:51:33",NULL,"0"
"2064","18","indirect commission L6","approved","5","in","Samuel","2022-04-01 10:58:51","2022-04-01 10:58:51",NULL,"0"
"2094","18","indirect commission L6","approved","0.5","in","Olaiderayo1","2022-04-01 15:13:31","2022-04-01 15:13:31",NULL,"0"
"2158","18","indirect commission L5","approved","0.5","in","Chioma4life","2022-04-01 18:09:59","2022-04-01 18:09:59",NULL,"0"
"2174","18","indirect commission L5","approved","30","in","IME4REAL","2022-04-01 21:14:54","2022-04-01 21:14:54",NULL,"0"
"2338","18","indirect commission L6","approved","0.5","in","Xtracoin","2022-04-02 12:13:50","2022-04-02 12:13:50",NULL,"0"
"2355","18","indirect commission L6","approved","5","in","Imowo","2022-04-02 15:01:20","2022-04-02 15:01:20",NULL,"0"
"2369","18","indirect commission L6","approved","2","in","Kingdavid001","2022-04-02 17:30:56","2022-04-02 17:30:56",NULL,"0"
"2380","18","indirect commission L6","approved","0.5","in","Zion1","2022-04-02 17:44:17","2022-04-02 17:44:17",NULL,"0"
"2392","18","indirect commission L6","approved","5","in","Imowo","2022-04-02 17:47:41","2022-04-02 17:47:41",NULL,"0"
"2396","18","indirect commission L2","approved","2","in","Eshalsanamjan","2022-04-02 17:47:46","2022-04-02 17:47:46",NULL,"0"
"2417","18","indirect commission L3","approved","1","in","Shazia","2022-04-02 18:14:12","2022-04-02 18:14:12",NULL,"0"
"2437","18","indirect commission L6","approved","10","in","Imowo","2022-04-02 19:51:09","2022-04-02 19:51:09",NULL,"0"
"2451","18","indirect commission L5","approved","30","in","Dollarrain","2022-04-02 21:40:13","2022-04-02 21:40:13",NULL,"0"
"2466","18","indirect commission L6","approved","5","in","Uzom123","2022-04-02 22:40:02","2022-04-02 22:40:02",NULL,"0"
"2657","18","indirect commission L6","approved","0.5","in","Greatmby","2022-04-03 00:58:18","2022-04-03 00:58:18",NULL,"0"
"2669","18","indirect commission L5","approved","2","in","Chioma4life","2022-04-03 08:07:01","2022-04-03 08:07:01",NULL,"0"
"2675","18","7x cap reached","approved","4336.4520511487","out","blockchain","2022-04-03 12:00:02","2022-04-03 12:00:02",NULL,"0"
